地震時間	經度	緯度	規模	深度
2020/2/26 13:34	121.62	23.88	4.91	26.53
2020/2/25 20:27	121.41	24.38	4.18	5.27
2020/2/25 19:14	121.41	24.39	5.3	5.13
2020/2/25 09:00	122.15	24.54	4.81	76.66
2020/2/24 20:10	121.55	23.83	4.51	8.19
2020/2/20 21:16	121.55	23.87	4.09	10.16
2020/2/19 19:55	121	23.99	4.53	17.35
2020/2/19 13:28	121.52	23.88	4.25	9.63
2020/2/19 13:27	121.55	23.87	4.84	9.42
2020/2/16 04:50	121.54	23.83	4	8.23
2020/2/16 04:13	121.55	23.83	4	8.57
2020/2/16 03:20	121.52	23.85	5.1	8.7
2020/2/16 03:16	121.52	23.84	4.26	9.09
2020/2/15 19:05	121.52	23.85	5.31	9.05
2020/2/15 19:00	121.51	23.86	5.73	8.32
2020/2/14 05:38	121.38	22.4	4.79	26.34
2020/2/14 04:25	121.63	23.65	4.22	32.71
2020/2/14 01:49	122.12	24.29	5.19	38.62
2020/2/13 15:44	120.68	22.67	4.16	32.84
2020/2/8 00:01	121.62	24.22	4.01	20.48
2020/2/7 19:57	122.09	24.3	4.81	58.29
2020/2/4 01:02	121.53	23.57	5.19	33.32
2020/2/2 23:48	121.9	24.83	4.38	89.98
2020/1/31 16:24	122.04	24.84	4.02	9.89
2020/1/31 14:09	122.06	24.84	4.42	12.45
2020/1/28 18:05	120.51	23.22	4.33	14.51
2020/1/28 00:12	120.63	22.65	4.04	33.17
2020/1/9 03:06	121.64	23.91	4.62	40.24
2020/1/6 14:53	120.26	23.38	4.87	7.78
2020/1/2 19:33	121.69	24.83	4.09	83.83
2020/1/1 03:10	121.67	24.08	4.95	10.8
2019/12/23 03:03	121.96	24.19	4.21	26.88
2019/12/21 22:09	121.39	23.01	4.4	39.57
2019/12/18 10:52	121.87	24.26	4.02	24.6
2019/12/17 07:41	121.52	24.04	4.19	18.08
2019/12/16 19:25	121.76	24.54	5.25	49.73
2019/12/11 22:02	121.89	24.79	4.11	10.52
2019/12/10 12:13	121.5	24.05	4.13	21.83
2019/12/7 03:32	122.68	24.56	5.06	100.41
2019/12/2 01:34	121.96	24.39	4.24	26.86
2019/11/25 09:32	121.75	24.03	4.6	5.14
2019/11/18 02:56	121.7	24.53	4.29	59.83
2019/11/12 02:11	121.92	24.88	4.55	109
2019/11/10 08:13	121.92	23.94	4.46	37.85
2019/11/8 15:29	121.89	24.54	4.1	38.06
2019/11/3 03:26	121.91	24.41	4.46	26.89
2019/11/1 21:28	121.33	22.6	4.04	35.96
2019/10/28 07:28	121.89	24.48	4.5	26.71
2019/10/17 19:44	122.5	24.03	5.64	29.62
2019/10/8 01:17	122.36	24.66	5.08	14.68
2019/10/5 22:34	121.71	24.33	4.21	32.91
2019/10/1 10:17	121.03	22.58	4.41	7.24
2019/10/1 02:42	120.6	22.91	4.32	15.62
2019/10/1 01:12	120.59	22.91	4.54	14.9
2019/9/30 18:38	120.59	22.9	4.14	16.18
2019/9/10 14:08	121.83	24.04	4.6	5.71
2019/9/8 12:36	122.24	24.86	4.31	11.34
2019/9/8 12:35	122.24	24.86	4.51	13.13
2019/9/3 08:47	121.5	23.75	4.6	6.85
2019/9/1 07:46	122.22	24.85	4.42	11.27
2019/8/31 15:50	121.73	22.97	4.79	23.93
2019/8/30 14:46	120.66	22.85	4.19	19.39
2019/8/18 12:05	121.52	23.72	4.14	3.63
2019/8/18 12:05	121.54	23.74	4.97	6.6
2019/8/17 22:52	121.53	23.72	4.71	7.04
2019/8/17 22:52	121.54	23.74	4.54	7.07
2019/8/16 05:41	120.72	23.57	4.71	17.75
2019/8/11 06:12	121.53	23.74	4.27	6.12
2019/8/11 05:39	121.52	23.72	4.41	4.72
2019/8/11 05:39	121.53	23.72	4.22	4.76
2019/8/10 16:03	121.51	23.66	4.14	3.48
2019/8/8 07:02	121.82	24.61	4.65	68.01
2019/8/8 05:28	121.91	24.44	6.24	24.15
2019/8/6 09:31	121.52	23.68	4.69	3.65
2019/8/6 09:19	121.53	23.67	5.1	4.57
2019/8/5 11:39	120.45	23.3	4.06	4.35
2019/8/4 14:25	121.53	23.68	4.12	3.04
2019/8/3 06:24	121.54	23.69	4.96	4.1
2019/8/2 21:53	121.53	23.71	4.65	4.22
2019/7/26 14:39	121.84	24.75	4.73	62.65
2019/7/19 18:13	122.06	21.78	5.16	28.6
2019/7/15 16:02	120.96	22.39	4.08	13.9
2019/7/7 11:51	120.13	23.29	4	11.51
2019/7/4 18:10	121.61	23.98	4.04	44.5
2019/6/30 03:44	122.36	22.32	5.84	46.56
2019/6/30 00:20	122.18	25.07	5.06	152.05
2019/6/19 20:03	121.38	23.31	4.22	39.9
2019/6/16 00:25	121.64	23.85	4.03	37.48
2019/6/15 09:41	122.04	23.46	4.42	30.75
2019/6/6 03:27	121.58	23.83	4.65	22.41
2019/6/4 20:17	121.59	23.25	4.26	41.16
2019/6/4 17:46	121.61	22.84	5.93	14.68
2019/5/31 23:53	120.58	22.92	4.81	13.44
2019/5/27 22:06	121.65	24.49	4.2	44.13
2019/5/25 14:27	121.39	23.21	4.4	21.31
2019/5/23 14:12	121.55	24.02	4.96	14.45
2019/5/22 09:37	121.64	23.96	4.81	28.8
2019/5/19 00:38	122.19	24.03	4.76	22.52
2019/5/17 23:37	121.48	23.49	4.07	41.67
2019/5/13 16:55	121.9	24.75	5.2	87.98
2019/5/8 23:48	122.49	24.82	5.1	122.72
2019/5/3 05:47	121.92	24.83	4.37	100.9
2019/5/2 18:44	121.94	24.49	4.92	41.15
2019/5/1 11:17	121.43	23.79	4.21	18.52
2019/4/26 04:51	121.53	23.55	4.29	29.87
2019/4/21 16:09	121.82	24.75	4	10.01
2019/4/18 13:17	121.53	24.08	4.23	20.62
2019/4/18 13:01	121.56	24.05	6.32	20.33
2019/4/15 23:26	121.52	24.05	4.22	20.03
2019/4/10 06:57	121.88	24.19	5.03	25.67
2019/4/10 04:24	121.56	23.97	4.87	10.25
2019/4/9 23:13	121.57	23.98	5.12	11.65
2019/4/8 21:27	121.9	24.18	4.1	25.21
2019/4/8 14:58	121.51	22	4.84	17.64
2019/4/6 05:24	120.69	22.82	4.56	16.92
2019/4/5 18:49	121.4	22.12	4.05	75.31
2019/4/4 20:56	121.58	23.71	4.68	31.48
2019/4/4 10:27	120.85	22.97	4.15	3.08
2019/4/4 09:56	120.86	22.98	5.51	3.48
2019/4/4 09:54	120.84	22.97	4.13	4
2019/4/4 09:50	120.85	22.97	4.05	2.19
2019/4/3 09:53	120.82	22.98	4.28	11.61
2019/4/3 09:52	120.87	22.94	5.95	4.87
2019/4/1 10:54	122.24	24.93	5.12	128.64
2019/3/25 10:43	121.71	23.52	4.06	16.42
2019/3/22 20:05	122.45	24.49	4.94	88.75
2019/3/19 12:01	121.93	24.75	4.91	83.17
2019/3/17 20:44	121.91	24.44	4.25	24.53
2019/3/16 08:45	121.39	23.22	4.62	18.92
2019/3/14 05:07	121.35	23.06	4.77	17.73
2019/3/13 12:32	121.59	23.6	5.42	35.91
2019/3/13 04:19	121.86	25.02	5.39	138
2019/3/12 11:53	120.62	22.92	4.2	10.78
2019/3/11 23:51	121.72	23.42	4.13	28.27
2019/3/10 01:27	121.45	23.93	4.06	19.84
2019/3/8 10:55	121.42	22.42	4.17	28.35
2019/3/8 10:54	121.39	22.4	4.14	20.1
2019/3/8 10:32	121.4	22.44	5.36	24.08
2019/3/7 23:27	121.61	23.97	4.03	38.3
2019/3/6 09:33	121.79	24.76	4.17	86.65
2019/2/17 18:22	120.45	23.12	4.21	14.64
2019/2/15 22:08	121.75	23.8	5.17	45.6
2019/2/13 02:23	121.58	23.75	4.39	5.36
2019/2/11 18:57	120.92	23.15	4.06	1.27
2019/2/10 04:12	121.54	25.13	4.04	7.71
2019/2/8 00:52	120.61	23.26	5.07	13.71
2019/2/5 19:32	121.92	24.34	4.53	35.73
2019/1/31 06:14	121.86	24.4	4.07	24.57
2019/1/30 23:14	120.59	21.81	5.18	46.75
2019/1/30 13:21	122.39	23.74	5.96	39.68
2019/1/22 11:19	121.39	22.23	5.07	21.48
2019/1/16 20:52	121.67	23.36	4.02	31.22
2019/1/16 04:28	121.81	24.45	4.04	7.6
2019/1/14 02:28	121.21	22.93	4.36	28.54
2019/1/8 20:16	121.53	23.24	5.49	34.03
2019/1/8 06:19	121.36	22.79	4.28	13.25
2019/1/4 06:59	120.96	22.89	4.47	4.9
2019/1/4 02:02	120.97	22.9	4.94	4.79
2019/1/2 14:58	121.1	22.11	4.05	17.53
2018/12/29 21:44	120.72	23.62	4.16	15.42
2018/12/25 11:56	120.8	22.59	4.56	5.77
2018/12/25 11:43	121.53	23.2	4.21	36.07
2018/12/23 10:54	121.7	24.45	4.04	32.34
2018/12/22 22:47	121.72	23.96	4.44	51.51
2018/12/21 21:27	122.21	24.55	4.23	9.36
2018/12/17 10:24	121.9	23.73	4.27	34.76
2018/12/16 05:21	121.91	23.73	5.8	32.87
2018/12/12 21:24	121.52	23.91	5.09	12.37
2018/12/10 18:58	121.34	23.06	4.61	18.75
2018/12/9 23:15	121.52	24.05	5.16	19.68
2018/12/9 00:07	120.71	23.62	4.21	15.77
2018/11/21 09:32	121.91	24.42	4.27	38.06
2018/11/20 00:31	121.92	24.41	4.73	39.15
2018/11/19 22:40	121.94	24.35	4.5	25.55
2018/11/19 14:19	122.47	23.95	5.03	27.2
2018/11/16 10:01	121.81	24.79	4.47	82.3
2018/11/16 08:34	122.69	24.31	4.95	69.13
2018/11/10 09:51	120.22	23.36	4.42	7.2
2018/11/8 05:05	122.57	22.78	5.32	49.2
2018/11/2 01:32	121.64	23.57	4.01	47.07
2018/10/31 08:11	121.4	23.75	4.27	22.18
2018/10/26 19:33	122	23.5	4.34	30.38
2018/10/24 00:04	122.63	23.99	5.9	30.1
2018/10/23 12:34	122.62	24	6.11	31.19
2018/10/21 07:10	121.41	24.08	4.36	62.97
2018/10/10 17:43	122.04	24.91	4.55	14.49
2018/10/9 16:12	121.38	22.92	4.63	24.77
2018/10/6 03:10	121.95	21.14	5.05	158.66
2018/10/4 14:17	120.47	22.12	4.65	36.48
2018/9/30 16:27	121.61	23.62	4.11	31.11
2018/9/18 04:08	121.02	24.02	4.48	18.53
2018/9/12 05:20	122.26	24.04	4.67	44.65
2018/9/11 12:43	121.52	23.87	4.57	10.31
2018/9/9 21:16	121.61	23.93	4.62	44.52
2018/9/8 14:50	121.72	24.31	4.42	26.79
2018/9/5 01:53	122.05	23.51	4.33	32.79
2018/9/3 13:59	121.54	24.09	4.46	19.67
2018/8/31 04:14	122.31	24.72	4.66	100.45
2018/8/30 03:53	122.41	24.82	4.5	15.16
2018/8/23 04:30	121.57	22.88	4.26	18.7
2018/8/18 09:01	121	24.01	4.26	17.79
2018/8/18 08:15	121	24.01	5.21	17.99
2018/8/17 18:14	121.01	24.01	4.27	18.19
2018/8/17 18:09	121.01	24.01	4.92	18.75
2018/8/4 19:53	120.03	22.99	4.03	20.3
2018/8/2 21:38	120.7	23.64	4.86	13.14
2018/7/25 02:39	120.45	22.39	4.02	30.6
2018/7/19 10:30	122.05	24.64	4.39	55.54
2018/7/14 19:46	121.8	24.56	4.3	67.38
2018/7/14 02:38	121.17	22.99	4.84	8.01
2018/7/14 00:47	120.72	23.59	4.18	17.33
2018/7/13 14:31	121.17	22.99	4.09	9.14
2018/7/13 09:42	121.55	23.86	4.04	51.02
2018/7/11 20:41	120.21	23.03	4.54	16.75
2018/7/10 21:58	120.99	23.07	4.17	3.57
2018/7/4 15:45	120.91	23.13	4.28	1.59
2018/7/4 04:10	121.18	23.01	4.42	10
2018/7/3 17:20	120.9	23.16	4.84	1.01
2018/7/3 03:36	120.48	23.44	4.1	12.21
2018/7/2 15:26	120.48	23.44	4.74	12.01
2018/7/2 15:26	120.48	23.44	4.57	12.05
2018/6/28 14:30	121.17	23	4.09	10.59
2018/6/27 23:26	121.17	23	4.3	10.39
2018/6/22 13:19	120.83	23.21	4.1	4.64
2018/6/16 04:53	121.84	24.67	5.33	63.21
2018/6/13 17:49	120.99	23.08	4.19	2.45
2018/6/12 04:52	121.76	23.98	4.68	5.09
2018/6/11 23:42	121.75	23.98	4.51	6.68
2018/6/10 15:29	122.02	23.32	4.18	32.48
